year_of_death;code;age;sex;disease;number_of_death
1979-2021;11;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;8
1979-2021;12;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;3
1979-2021;13;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;43
1979-2021;14;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;23
1979-2021;15;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;4
1979-2021;16;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;16
1979-2021;17;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;23
1979-2021;18;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;15
1979-2021;19;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;12
1979-2021;21;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;19
1979-2021;22;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;30
1979-2021;23;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;8
1979-2021;24;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;14
1979-2021;25;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;12
1979-2021;26;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;7
1979-2021;27;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;16
1979-2021;28;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;29;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;28
1979-2021;2A;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;2
1979-2021;2B;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;6
1979-2021;30;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;18
1979-2021;31;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;32;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;3
1979-2021;33;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;33
1979-2021;34;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;21
1979-2021;35;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;25
1979-2021;36;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;11
1979-2021;37;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;10
1979-2021;38;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;16
1979-2021;39;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;40;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;4
1979-2021;41;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;17
1979-2021;42;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;23
1979-2021;43;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;6
1979-2021;44;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;22
1979-2021;45;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;16
1979-2021;46;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;6
1979-2021;47;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;7
1979-2021;48;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;4
1979-2021;49;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;16
1979-2021;50;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;51;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;19
1979-2021;52;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;53;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;4
1979-2021;54;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;55;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;14
1979-2021;56;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;15
1979-2021;57;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;48
1979-2021;58;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;14
1979-2021;59;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;137
1979-2021;60;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;17
1979-2021;61;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;8
1979-2021;62;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;66
1979-2021;63;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;64;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;15
1979-2021;65;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;7
1979-2021;66;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;15
1979-2021;67;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;32
1979-2021;68;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;24
1979-2021;69;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;26
1979-2021;70;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;6
1979-2021;71;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;22
1979-2021;72;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;73;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;10
1979-2021;74;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;14
1979-2021;75;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;56
1979-2021;76;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;28
1979-2021;77;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;21
1979-2021;78;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;30
1979-2021;79;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;12
1979-2021;80;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;38
1979-2021;81;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;10
1979-2021;82;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;4
1979-2021;83;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;34
1979-2021;84;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;11
1979-2021;85;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;86;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;9
1979-2021;87;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;11
1979-2021;88;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;13
1979-2021;89;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;12
1979-2021;90;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;3
1979-2021;91;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;24
1979-2021;92;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;45
1979-2021;93;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;40
1979-2021;94;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;44
1979-2021;95;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;44
1979-2021;971;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;19
1979-2021;972;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;8
1979-2021;973;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;6
1979-2021;974;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;21
1979-2021;976;55-64;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;1
1979-2021;01;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;58
1979-2021;02;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;107
1979-2021;03;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;48
1979-2021;04;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;14
1979-2021;05;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;17
1979-2021;06;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;103
1979-2021;07;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;39
1979-2021;08;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;29
1979-2021;09;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;18
1979-2021;10;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;39
1979-2021;11;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;39
1979-2021;12;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;33
1979-2021;13;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;141
1979-2021;14;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;68
1979-2021;15;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;16;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;41
1979-2021;17;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;84
1979-2021;18;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;56
1979-2021;19;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;31
1979-2021;21;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;43
1979-2021;22;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;73
1979-2021;23;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;32
1979-2021;24;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;68
1979-2021;25;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;36
1979-2021;26;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;36
1979-2021;27;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;58
1979-2021;28;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;38
1979-2021;29;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;108
1979-2021;2A;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;11
1979-2021;2B;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;12
1979-2021;30;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;73
1979-2021;31;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;73
1979-2021;32;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;16
1979-2021;33;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;116
1979-2021;34;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;85
1979-2021;35;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;91
1979-2021;36;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;37
1979-2021;37;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;57
1979-2021;38;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;92
1979-2021;39;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;27
1979-2021;40;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;36
1979-2021;41;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;39
1979-2021;42;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;53
1979-2021;43;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;32
1979-2021;44;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;106
1979-2021;45;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;72
1979-2021;46;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;19
1979-2021;47;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;27
1979-2021;48;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;8
1979-2021;49;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;46
1979-2021;50;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;69
1979-2021;51;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;62
1979-2021;52;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;53;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;28
1979-2021;54;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;72
1979-2021;55;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;29
1979-2021;56;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;84
1979-2021;57;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;114
1979-2021;58;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;48
1979-2021;59;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;358
1979-2021;60;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;104
1979-2021;61;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;31
1979-2021;62;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;212
1979-2021;63;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;57
1979-2021;64;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;49
1979-2021;65;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;66;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;39
1979-2021;67;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;132
1979-2021;68;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;60
1979-2021;69;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;121
1979-2021;70;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;25
1979-2021;71;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;65
1979-2021;72;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;48
1979-2021;73;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;41
1979-2021;74;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;49
1979-2021;75;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;213
1979-2021;76;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;136
1979-2021;77;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;117
1979-2021;78;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;88
1979-2021;79;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;42
1979-2021;80;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;76
1979-2021;81;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;25
1979-2021;82;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;20
1979-2021;83;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;81
1979-2021;84;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;41
1979-2021;85;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;49
1979-2021;86;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;51
1979-2021;87;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;52
1979-2021;88;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;39
1979-2021;89;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;45
1979-2021;90;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;7
1979-2021;91;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;92
1979-2021;92;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;136
1979-2021;93;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;131
1979-2021;94;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;93
1979-2021;95;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;84
1979-2021;971;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;29
1979-2021;972;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;36
1979-2021;973;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;5
1979-2021;974;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;38
1979-2021;976;65-74;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;2
1979-2021;01;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;212
1979-2021;02;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;348
1979-2021;03;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;180
1979-2021;04;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;64
1979-2021;05;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;43
1979-2021;06;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;447
1979-2021;07;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;138
1979-2021;08;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;146
1979-2021;09;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;60
1979-2021;10;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;167
1979-2021;11;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;195
1979-2021;12;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;127
1979-2021;13;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;567
1979-2021;14;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;285
1979-2021;15;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;71
1979-2021;16;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;209
1979-2021;17;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;340
1979-2021;18;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;215
1979-2021;19;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;141
1979-2021;21;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;210
1979-2021;22;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;310
1979-2021;23;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;119
1979-2021;24;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;272
1979-2021;25;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;129
1979-2021;26;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;142
1979-2021;27;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;230
1979-2021;28;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;174
1979-2021;29;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;412
1979-2021;2A;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;37
1979-2021;2B;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;43
1979-2021;30;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;271
1979-2021;31;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;313
1979-2021;32;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;83
1979-2021;33;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;491
1979-2021;34;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;348
1979-2021;35;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;270
1979-2021;36;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;199
1979-2021;37;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;276
1979-2021;38;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;331
1979-2021;39;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;112
1979-2021;40;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;129
1979-2021;41;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;154
1979-2021;42;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;308
1979-2021;43;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;128
1979-2021;44;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;336
1979-2021;45;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;268
1979-2021;46;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;104
1979-2021;47;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;168
1979-2021;48;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;23
1979-2021;49;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;237
1979-2021;50;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;281
1979-2021;51;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;226
1979-2021;52;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;95
1979-2021;53;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;110
1979-2021;54;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;236
1979-2021;55;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;89
1979-2021;56;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;300
1979-2021;57;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;381
1979-2021;58;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;185
1979-2021;59;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;1069
1979-2021;60;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;354
1979-2021;61;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;170
1979-2021;62;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;673
1979-2021;63;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;214
1979-2021;64;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;179
1979-2021;65;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;99
1979-2021;66;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;143
1979-2021;67;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;432
1979-2021;68;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;244
1979-2021;69;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;425
1979-2021;70;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;110
1979-2021;71;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;299
1979-2021;72;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;274
1979-2021;73;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;163
1979-2021;74;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;161
1979-2021;75;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;813
1979-2021;76;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;492
1979-2021;77;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;465
1979-2021;78;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;355
1979-2021;79;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;212
1979-2021;80;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;344
1979-2021;81;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;155
1979-2021;82;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;116
1979-2021;83;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;351
1979-2021;84;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;179
1979-2021;85;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;233
1979-2021;86;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;176
1979-2021;87;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;212
1979-2021;88;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;131
1979-2021;89;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;242
1979-2021;90;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;32
1979-2021;91;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;354
1979-2021;92;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;514
1979-2021;93;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;495
1979-2021;94;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;450
1979-2021;95;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;369
1979-2021;971;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;78
1979-2021;972;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;90
1979-2021;973;75-84;Tous sexes;10. Maladies de la peau et du tissu cellulaire sous-cutané;8
